Author Last,Author First,Title,Year Published,Genre,Read?,Number of Pages,BOTM,Aardvark,more than 1 copy?,tbr?,rating
Abdullah,Chelsea,The Stardust Thief,2022,fantasy,n,467,y,,,,
Acevedo,Elizabeth,Family Lore,2023,fiction,y,371,y,,,,4
Achebe,Chinua,Things Fall Apart,1959,fiction,n,209,,,,y,
Adams,Douglas,The Hitchhiker's Guide to the Galaxy,1979,science fiction,y,215,,,,,8
Adams,Taylor,The Last Word,2023,thriller,y,340,y,,,,7
Adiga,Aravind,The White Tiger,2008,fiction,n,288,,,,,
Ahmed,Jamila,Every Rising Sun,2023,historical fiction,n,376,,,,y,
Akwesasne,,Basic Call to Consciousness,1978,non-fiction,n,120,,,,,
Albanese,Laurie Lico,Hester,2022,historical fiction,y,322,y,,,,9
Albert,Melissa,The Bad Ones,2024,young adult fantasy,y,384,,,,,7
Albom,Mitch,The Time Keeper,2012,fantasy,y,224,,,,,7
Alcott,Louisa May,Little Women,1868,fiction,n,464,y,,,y,
Alderman,Naomi,The Future,2023,science fiction,n,415,y,,,y,
Alderman,Naomi,The Power,2016,science fiction,y,386,y,,,,8
Alderton,Dolly,Good Material,2024,fiction,y,319,y,,,,6
Alexander,Michelle,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,2010,non-fiction,y,312,,,,,8
Alexie,Sherman,The Absolutely True Diary of a Part-Time Indian,2007,fiction,y,230,,,,,7
Almada,Selva,Brickmakers,2013,fiction,n,181,,,,y,
Ancient Mesopotamians,,The Epic of Gilgamesh,1992,fiction,y,97,,,,,
Andersen,Hans Christian,The Little Mermaid and Other Fairy Tales,2016,fantasy,n,303,,,,,
Anderson,M.T.,"The Astonishing Life of Octoavian Nothing, Traitor to the Nation",2006,historical fiction,dnf,353,,,,,
Anonymous,,Lucy in the Sky,2012,young adult fiction,y,267,,,,,5
Arden,Katherine,The Warm Hands of Ghosts,2024,fantasy,y,324,,y,,,8
Asher,Jay,Thirteen Reasons Why,2007,fiction,y,288,,,y,,6
Asher,Jay,Thirteen Reasons Why,2007,fiction,y,288,,,y,,6
Atwood,Margaret,The Handmaid's Tale,1985,fiction,y,395,,,,,7
Austen,Jane,Northanger Abbey,1803,fiction,n,234,,,,y,
Austen,Jane,Mansfield Park,1814,fiction,n,462,,,,y,
Austen,Jane,Emma,1815,fiction,n,477,,,,y,
Austen,Jane,Emma,1816,fiction,n,590,,,,,
Austen,Jane,Persuasion,1818,fiction,n,235,,,y,,
Austen,Jane,Persuasion,1818,fiction,n,236,,,y,,
Austen,Jane,Persuasion,1818,fiction,n,279,,,y,y,
Austen,Jane,Sense and Sensibility,1811,fiction,y,391,,,y,,
Austen,Jane,Sense and Sensibility,1811,fiction,y,413,,,,y,9
Austen,Jane,Pride and Prejudice,1813,fiction,y,392,,,y,,10
Austen,Jane,Pride and Prejudice,1813,fiction,y,442,,,y,y,10
Ausubel,Ramona,The Last Animal,2023,fiction,y,278,,,,y,7
Auyero,Javier,Patients of the State: The Politics of Waiting in Argentina,2012,anthropology,y,196,,,,,5
Awad,Mona,Rouge,2023,horror,n,369,,,,,
Awad,Mona,Bunny,2019,horror,y,305,,,,,9
Backman,Fredrik,A Man Called Ove,2012,fiction,y,337,,,,y,8
Baldree,Travis,Legends & Lattes,2022,fantasy,y,294,,,,,7
Bannen,Megan,The Undertaking of Heart and Mercy,2022,fantasy,y,439,,,,,6
Bardugo,Leigh,Siege and Storm,2013,fantasy,dnf,435,,,,y,
Bardugo,Leigh,Ruin and Rising,2014,fantasy,n,417,,,,y,
Bardugo,Leigh,Shadow and Bone,2012,fantasy,y,358,,,,,8
Bardugo,Leigh,Ninth House,2019,fantasy,y,450,y,,,,4
Bardugo,Leigh,Hellbent,2022,fantasy,y,481,y,,,,5
Barnes,S. A.,Ghost Station,2024,horror,n,377,,y,,y,
Barnet,Frankie,Mood Swings,2024,fiction,y,291,,,,,9
Barnhill,Kelly,When Women Were Dragons,2022,fantasy,n,367,,,,y,
"Barrett, Zuckerman, Dudgeon, Armelagos","Ron, Molly K., Matthew R., George J.",Emerging Infections: Three Epidemiological Transitions from Prehistory to the Present,2024,anthropology,n,170,,,,y,
Barton,Fiona,The Child,2017,fiction,n,364,y,,,,
Bass,Jefferson,Carved in Bone,2006,thriller,n,342,,,,,
"Basu, Aaby","Alaka Malwade, Peter",The Methods and Uses of Anthropological Demography,1998,anthropology,n,329,,,,,
Batuman,Elif,The Idiot,2017,fiction,n,423,,,,,
Batuman,Elif,Either/Or,2023,fiction,n,360,,,,,
Baym,Nancy K.,Peronal Connections in the Digital Age,2010,non-fiction,n,184,,,,,
Beams,Clare,The Garden,2024,horror,n,289,,y,,y,
"Belli, Coulehan","Angela, Jack",Blood & Bone: Poems by Physicians,1998,poetry,n,160,,,,,
Bello,Walden,The Food Wars,2009,politics,dnf,176,,,,,
Bennett,Brit,The Vanishing Half,2020,fiction,n,343,y,,,,
Bennett,Robert Jackson,The Tainted Cup,2024,fantasy,n,406,,y,,y,
Benson,Richard,F for Effort: More of the Very Best Totally Wrong Test Answers,2012,humor,y,127,,,,,5
Berridge,Virginia,Public Health: A Very Short Introduction,2016,science,n,139,,,,y,
Bigenho,Michelle,Intimate Distance: Andean Music in Japan,2012,anthropology,y,230,,,,,5
Black,Holly,The Cruel Prince,2018,fantasy,y,369,,,,,8
Black,Holly,The Queen of Nothing,2019,fantasy,y,308,,,,,7
Black,Holly,The Wicked King,2019,fantasy,y,326,,,,,8
Blackwood,Lauren,Wildblood,2023,fantasy,y,320,,,,,6
Blake,Olivie,Masters of Death,2018,fantasy,n,418,,,,y,
Blake,Olivie,Alone with You in the Ether,2020,fiction,n,279,,,,y,
Blake,Olivie,The Atlas Six,2021,fantasy,n,409,,,,,
Blakemore,A.K.,The Manningtree Witches,2021,fiction,dnf,310,,,,,
Blakemore,A.K.,The Glutton,2023,fiction,y,320,,,,,9
Blaser,Martin J.,Missing Microbes: How the Oversue of Antibiotics is Fueling our Modern Plagues,2014,non-fiction,y,273,,,,,6
"Bloom, Martin","Joshua, Waldo E.",Black Against Empire: The History and Politics of the Black Panther Party,2013,history,y,539,,,,,5
Boccaccio,Giovanni,Tales from the Decameron,1353,fiction,n,370,,,,y,
"Bohannan, Glazer","Paul, Mark","High Points in Anthropology, Second Edition",1988,anthropology,n,554,,,,,
